Samples	plate	timepoint	genotypeID	chamber	microbiome	well	size.pixels	size.mm2	Fo	Fm	Fv	Fp	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss
MNSA59.0C.9M	P38	initial	MNSA59	0	9	10	1592	243.98	25.65	62.81	37.17	61.41	38.46	32.7	30.99	29.93	28.35	44.56	48.7	49.9	38.67	31.91	29.45	27.56	26.35	24.42	24.61	23.96	20.38	18.64	18.07	17.7	17.14	21.97	22.93	23.19	18.09	14.06	12.92	12.23	11.21	22.59	25.77	26.7	-0.21	0.8	1.54	2.37	2	20.14	24.09	25.94	0.59	0.47	0.43	0.42	0.41	0.4	0.51	0.53	0.54	-0.01	0.02	0.05	0.08	0.07	0.45	0.49	0.52	0.63	0.92	1.03	1.1	1.22	0.41	0.29	0.26	0.57	0.68	0.71	0.73	0.75	0.45	0.35	0.33	-0.01	0.06	0.12	0.19	0.18	0.89	0.93	0.97	-0.02	0.1	0.19	0.3	0.27	0.99	1	1	0.59	0.92	1.08	1.23	1.33
MNSA59.0C.9M	P38	week3	MNSA59	0	9	10	771	118.16	60.76	143.72	82.96	141.41	67.87	53.91	51.14	51.84	49.09	99.18	118.36	122.72	71.7	54.11	50.51	49.71	47.67	42.83	47.4	48.19	41.26	35.65	34.42	34.74	33.48	51.07	55.71	56.66	26.6	18.26	16.72	17.11	15.61	48.11	62.64	66.05	-3.83	-0.2	0.63	2.13	1.43	56.35	70.95	74.52	0.58	0.39	0.34	0.33	0.33	0.32	0.49	0.53	0.54	-0.06	0	0.01	0.04	0.03	0.57	0.6	0.61	1.12	1.67	1.81	1.77	1.93	0.45	0.21	0.17	0.74	0.83	0.85	0.84	0.86	0.48	0.29	0.24	-0.14	-0.01	0.04	0.12	0.09	1.17	1.13	1.13	-0.25	-0.02	0.05	0.18	0.13	0.98	0.96	0.96	0.97	1.61	1.8	1.84	1.97
MNSA59.0C.ControlM	P39	initial	MNSA59	0	Control	10	468	71.72	64.33	170.27	105.94	169.11	97.09	81.9	76.58	68.16	60.89	139.66	152.33	154.34	101.09	82.28	75.32	66.93	59.23	67.57	69.55	68.23	50.07	45.7	44	41.08	38.32	59.41	61.59	61.92	47.02	36.2	32.58	27.08	22.57	80.25	90.74	92.42	-4	-0.38	1.26	1.23	1.66	72.09	82.78	86.12	0.62	0.48	0.44	0.43	0.4	0.37	0.57	0.6	0.6	-0.04	0	0.02	0.02	0.03	0.52	0.54	0.56	0.75	1.08	1.22	1.5	1.8	0.22	0.12	0.1	0.61	0.71	0.74	0.79	0.83	0.28	0.17	0.15	-0.08	-0.01	0.04	0.05	0.07	0.9	0.91	0.93	-0.17	-0.02	0.07	0.07	0.11	1.02	1.03	1.03	0.67	1.06	1.25	1.53	1.86
MNSA59.0C.ControlM	P39	week3	MNSA59	0	Control	10	336	51.49	52.27	127.88	75.61	121.62	54.71	43.27	40.49	39.62	37.38	96.07	106.2	107.9	57.52	42.79	39.11	37.5	35.09	40.1	42.75	42.27	33.79	29.05	27.77	27.36	26.27	46.04	48.24	48.59	20.91	14.22	12.72	12.26	11.11	50.03	57.95	59.31	-2.82	0.48	1.38	2.12	2.29	55.97	63.45	65.64	0.59	0.38	0.33	0.31	0.31	0.3	0.52	0.55	0.55	-0.05	0.01	0.03	0.05	0.06	0.58	0.6	0.61	1.34	1.96	2.16	2.23	2.42	0.33	0.2	0.19	0.78	0.86	0.87	0.88	0.89	0.39	0.27	0.25	-0.13	0.03	0.11	0.17	0.21	1.12	1.09	1.11	-0.23	0.05	0.15	0.24	0.28	0.97	0.97	0.96	1.11	1.84	2.11	2.24	2.47
MNSA59.9C.0M	P40	initial	MNSA59	9	0	10	1241	190.19	25.22	52.94	27.73	57.6	31.04	27.1	25.54	25.28	26.04	43.45	48.38	49.08	31	26.04	23.42	22.87	24.02	21.83	23.22	23.3	18.87	17.34	16.69	16.58	16.9	22.84	24.13	24.31	12.17	9.76	8.85	8.7	9.14	20.61	24.25	24.78	0.04	1.07	2.12	2.41	2.02	21.62	25.16	25.78	0.52	0.39	0.36	0.35	0.34	0.35	0.47	0.5	0.5	0	0.04	0.08	0.1	0.08	0.5	0.52	0.53	0.71	0.95	1.07	1.09	1.03	0.22	0.09	0.08	0.64	0.73	0.76	0.76	0.75	0.32	0.16	0.13	0	0.11	0.24	0.28	0.22	1.05	1.04	1.04	0.01	0.16	0.34	0.38	0.31	1	1	1	0.86	1.21	1.46	1.52	1.4
MNSA59.9C.0M	P40	week3	MNSA59	9	0	10	953	146.05	43.35	118.17	74.82	118.96	65.28	52.55	48.06	44.53	42.13	71.72	94.25	100.55	69.49	52.66	47.54	43.25	40.5	34.22	40.02	41.54	33.42	29.73	28.24	26.98	26.08	35.03	39.66	40.73	31.87	22.82	19.82	17.55	16.05	36.69	54.59	59.82	-4.2	-0.11	0.52	1.28	1.63	37.51	54.23	59.01	0.63	0.49	0.43	0.41	0.39	0.38	0.51	0.58	0.59	-0.06	0	0.01	0.03	0.04	0.52	0.58	0.59	0.81	1.25	1.46	1.65	1.8	0.65	0.25	0.18	0.62	0.74	0.78	0.81	0.83	0.56	0.3	0.23	-0.13	0	0.03	0.07	0.1	1.02	0.99	0.99	-0.27	-0.01	0.04	0.12	0.16	1	1	1.01	0.71	1.26	1.5	1.75	1.94
MNSA59.9C.9M	P41	initial	MNSA59	9	9	10	803	123.07	45.77	126.84	81.07	129.43	88.01	76.16	72.87	71.93	70.32	106.56	113.74	115.4	91.35	77.36	72.79	70.63	68.66	43.07	43.75	43.46	39.48	36.91	36.11	35.88	35.48	42.82	43.94	44.18	48.53	39.26	36.76	36.05	34.84	63.73	69.8	71.21	-3.34	-1.19	0.08	1.3	1.66	63.48	69.99	71.93	0.64	0.55	0.52	0.5	0.5	0.5	0.6	0.61	0.62	-0.04	-0.02	0	0.02	0.02	0.6	0.62	0.62	0.44	0.67	0.74	0.76	0.8	0.19	0.12	0.1	0.44	0.56	0.59	0.6	0.62	0.24	0.16	0.14	-0.07	-0.03	0	0.04	0.05	1	1	1.01	-0.16	-0.06	0	0.07	0.09	1	1	0.99	0.42	0.67	0.78	0.83	0.89
MNSA59.9C.9M	P41	week3	MNSA59	9	9	10	946	144.98	28.67	69.21	40.55	66.05	26.45	22.21	20.76	20.66	21.44	37.55	51.16	54.51	25.58	19.8	17.2	16.63	16.89	19.71	24.46	25.63	17.17	15.27	14.58	14.53	14.91	21.24	25.01	25.79	9.28	6.93	6.19	6.13	6.53	16.3	26.15	28.72	0.87	2.41	3.56	4.03	4.55	17.84	26.7	28.87	0.59	0.35	0.31	0.3	0.3	0.3	0.43	0.51	0.53	0.03	0.11	0.17	0.2	0.21	0.48	0.52	0.53	1.62	2.12	2.33	2.35	2.23	0.84	0.35	0.27	0.82	0.87	0.89	0.89	0.88	0.66	0.41	0.34	0.09	0.35	0.58	0.66	0.7	1.09	1.02	1.01	0.14	0.45	0.68	0.75	0.79	1.02	1	1	1.58	2.34	2.84	2.97	2.91
MNSA59.9C.ControlM	P42	initial	MNSA59	9	Control	10	1218	186.67	27.1	50.29	23.19	51.71	21.68	19.04	18.08	17.17	17.17	32.77	41.82	43.02	20.15	16.72	15.67	14.78	14.57	19.31	24.03	23.71	15.84	14.38	13.83	13.29	13.29	21.04	24.43	24.84	5.84	4.66	4.25	3.88	3.88	11.73	17.38	18.18	1.52	2.32	2.41	2.39	2.6	13.46	17.79	19.31	0.46	0.27	0.24	0.24	0.23	0.23	0.36	0.42	0.42	0.07	0.12	0.13	0.14	0.15	0.41	0.43	0.45	1.32	1.64	1.78	1.93	1.93	0.53	0.2	0.17	0.83	0.87	0.88	0.9	0.9	0.6	0.33	0.29	0.26	0.5	0.57	0.62	0.67	1.15	1.02	1.06	0.33	0.58	0.64	0.69	0.73	1.05	1.01	1.01	1.57	2.09	2.3	2.5	2.55
MNSA59.9C.ControlM	P42	week3	MNSA59	9	Control	10	746	114.33	55.24	133.85	78.61	136.93	66.01	50.76	46.17	41.13	38.55	83.43	109.08	115.32	73.03	51.95	46.77	41.77	37.86	40.48	48.78	50.28	38.79	32.97	30.97	28.62	27.34	44.21	50.51	51.81	27.22	17.79	15.2	12.51	11.2	39.21	58.58	63.51	-7.02	-1.2	-0.6	-0.64	0.68	42.95	60.31	65.04	0.59	0.41	0.35	0.33	0.3	0.29	0.47	0.54	0.55	-0.11	-0.02	-0.01	-0.02	0.02	0.51	0.55	0.56	1.03	1.64	1.9	2.25	2.47	0.6	0.23	0.16	0.71	0.82	0.85	0.88	0.89	0.56	0.3	0.23	-0.26	-0.07	-0.04	-0.05	0.06	1.1	1.03	1.02	-0.49	-0.11	-0.06	-0.07	0.08	1	0.99	0.99	0.87	1.64	1.93	2.28	2.62
P11B4.0C.0M	P31	initial	P11B4	0	0	12	300	45.98	46.47	114.82	68.36	107.93	90.72	80.78	74.76	68.1	62.75	88.34	96.02	95.74	91.38	80.35	74.61	66.36	58.78	43.55	45.1	44.6	41.96	39.7	38.19	36.37	34.79	41.44	43.06	43	48.76	41.08	36.57	31.73	27.97	46.9	52.96	52.74	-0.66	0.43	0.15	1.74	3.97	44.79	50.92	51.13	0.6	0.54	0.51	0.49	0.47	0.45	0.53	0.55	0.55	-0.01	0.01	0	0.03	0.06	0.51	0.53	0.53	0.27	0.42	0.54	0.69	0.83	0.3	0.2	0.2	0.33	0.45	0.52	0.6	0.65	0.36	0.26	0.27	-0.01	0.01	0	0.05	0.14	0.95	0.96	0.97	-0.03	0.02	0.01	0.1	0.24	1	1.01	1.01	0.18	0.34	0.45	0.63	0.84
P11B4.0C.0M	P31	week3	P11B4	0	0	12	279	42.76	25.1	75.53	50.42	65.11	38.89	33.02	30.96	29.04	27.34	46.09	54.9	56.37	38.54	30.62	26.98	25.88	23.4	20.91	22.02	22.19	19.12	17.58	16.98	16.39	15.83	20.71	22.32	22.56	19.78	15.44	13.98	12.66	11.51	25.38	32.58	33.81	0.35	2.4	3.98	3.17	3.94	25.18	32.88	34.18	0.67	0.51	0.47	0.45	0.44	0.42	0.55	0.59	0.6	0.01	0.07	0.13	0.11	0.14	0.55	0.6	0.61	0.94	1.29	1.44	1.6	1.76	0.64	0.38	0.34	0.65	0.73	0.76	0.79	0.81	0.54	0.39	0.36	0.02	0.16	0.28	0.25	0.34	0.99	1.01	1.01	0.04	0.27	0.45	0.4	0.51	1	1	0.99	0.69	1.13	1.41	1.52	1.78
P11B4.0C.9M	P32	initial	P11B4	0	9	12	300	45.98	46.47	114.82	68.36	107.93	90.72	80.78	74.76	68.1	62.75	88.34	96.02	95.74	91.38	80.35	74.61	66.36	58.78	43.55	45.1	44.6	41.96	39.7	38.19	36.37	34.79	41.44	43.06	43	48.76	41.08	36.57	31.73	27.97	46.9	52.96	52.74	-0.66	0.43	0.15	1.74	3.97	44.79	50.92	51.13	0.6	0.54	0.51	0.49	0.47	0.45	0.53	0.55	0.55	-0.01	0.01	0	0.03	0.06	0.51	0.53	0.53	0.27	0.42	0.54	0.69	0.83	0.3	0.2	0.2	0.33	0.45	0.52	0.6	0.65	0.36	0.26	0.27	-0.01	0.01	0	0.05	0.14	0.95	0.96	0.97	-0.03	0.02	0.01	0.1	0.24	1	1.01	1.01	0.18	0.34	0.45	0.63	0.84
P11B4.0C.9M	P32	week3	P11B4	0	9	12	602	92.26	18.47	52.04	33.57	47.33	28.97	25.61	24.43	21.92	20.53	31.19	34.85	36.07	26.53	22.24	20.2	18.4	16.5	15	15.52	15.33	14.4	13.51	13.18	12.41	11.95	14.92	15.71	15.96	14.57	12.09	11.25	9.51	8.57	16.26	19.13	20.11	2.44	3.37	4.23	3.52	4.02	16.18	19.32	20.74	0.65	0.5	0.47	0.46	0.43	0.42	0.52	0.55	0.56	0.08	0.13	0.17	0.16	0.2	0.52	0.55	0.57	0.8	1.03	1.13	1.37	1.53	0.67	0.49	0.44	0.61	0.69	0.71	0.76	0.79	0.56	0.47	0.44	0.17	0.28	0.38	0.37	0.47	1	1.01	1.03	0.31	0.46	0.58	0.55	0.65	1	1	0.99	0.78	1.13	1.34	1.57	1.87
P11B4.0C.ControlM	P33	initial	P11B4	0	Control	12	203	31.11	64.82	172.44	107.62	158.82	138.63	119.08	109.13	92.57	79.7	125.57	142.27	144.32	140.54	120.47	108.34	92	77.2	61.9	65.3	64.38	59.38	55.48	53.22	48.95	45.1	56.85	60.04	60.4	79.25	63.61	55.91	43.62	34.61	68.73	82.23	83.92	-1.9	-1.39	0.79	0.57	2.51	63.67	76.97	79.94	0.62	0.57	0.53	0.51	0.47	0.43	0.55	0.58	0.58	-0.01	-0.01	0.01	0.01	0.03	0.51	0.54	0.55	0.24	0.45	0.58	0.86	1.16	0.37	0.21	0.19	0.3	0.46	0.53	0.65	0.73	0.41	0.27	0.25	-0.02	-0.02	0.01	0.01	0.07	0.93	0.94	0.95	-0.06	-0.05	0.03	0.02	0.12	1.01	1.02	1.02	0.13	0.32	0.47	0.73	1.06
P11B4.0C.ControlM	P33	week3	P11B4	0	Control	11																																																																																																				
P11B4.9C.0M	P34	initial	P11B4	9	0	12	708	108.51	30.95	78.41	47.46	79.76	63.08	57.4	55.52	52.01	48.3	63.43	68.49	67.96	63.43	58	54.18	49.63	46.67	28.34	29.86	29.8	28.26	26.96	26.55	25.67	24.76	28.33	29.31	29.2	34.83	30.44	28.97	26.34	23.54	35.1	39.19	38.77	-0.34	-0.61	1.34	2.37	1.63	35.08	38.63	38.17	0.6	0.54	0.51	0.5	0.49	0.47	0.54	0.56	0.55	-0.03	-0.05	-0.03	0.01	-0.02	0.53	0.53	0.51	0.35	0.52	0.58	0.65	0.79	0.31	0.24	0.28	0.28	0.41	0.44	0.49	0.54	0.24	0.2	0.21	-0.09	-0.21	-0.19	-0.08	-0.26	1	0.95	0.88	-0.47	-0.82	-0.96	-0.64	-1.92	0.88	0.7	0.42	0.45	0.6	0.74	0.92	0.97
P11B4.9C.0M	P34	week3	P11B4	9	0	12	482	73.87	24.75	60.03	35.28	56.31	38.15	33.89	31.26	29.77	29.42	35.53	39.5	42.82	37.34	30.7	29.37	26.35	25.8	19.24	20.72	21.89	20.01	18.78	17.94	17.44	17.32	19.27	20.38	21.23	18.13	15.12	13.32	12.33	12.1	16.26	19.12	21.59	0.81	3.19	1.89	3.42	3.63	16.28	18.78	20.93	0.59	0.48	0.45	0.43	0.41	0.41	0.46	0.48	0.5	0.02	0.09	0.06	0.12	0.12	0.46	0.48	0.49	0.57	0.77	0.92	1.02	1.04	0.69	0.52	0.4	0.55	0.63	0.68	0.71	0.72	0.6	0.52	0.44	0.04	0.21	0.14	0.28	0.3	1	0.98	0.97	0.08	0.35	0.23	0.42	0.45	1	1	1	0.51	0.83	0.92	1.14	1.18
P11B4.9C.9M	P35	initial	P11B4	9	9	12	943	144.52	11.6	26.96	15.36	28.11	18.36	17.33	16.64	15.8	15.62	20.8	21.58	22.41	16.86	14.79	13.87	13.3	12.9	10.14	10.46	10.47	9.66	9.36	9.16	8.9	8.84	10.29	10.48	10.67	8.71	7.97	7.49	6.91	6.78	10.51	11.1	11.74	1.5	2.54	2.77	2.5	2.72	10.66	11.11	11.94	0.57	0.47	0.46	0.45	0.44	0.43	0.51	0.51	0.52	0.08	0.15	0.17	0.16	0.17	0.51	0.52	0.53	0.47	0.56	0.62	0.71	0.73	0.3	0.25	0.2	0.5	0.55	0.58	0.62	0.63	0.37	0.33	0.28	0.17	0.32	0.37	0.36	0.4	1.01	1	1.02	0.3	0.5	0.56	0.54	0.58	1	1	1	0.67	0.9	1.03	1.11	1.18
P11B4.9C.9M	P35	week3	P11B4	9	9	12	225	34.48	28.42	72.86	44.44	64.5	42.39	39.02	38.01	37.67	36.79	52.39	59.2	61.93	40.97	35.98	34.11	32.84	33.02	28.03	29.39	30.17	22.2	21.23	20.93	20.83	20.56	24.66	26.07	26.59	20.2	17.78	17.08	16.84	16.23	27.73	33.13	35.34	1.42	3.04	3.9	4.83	3.77	24.36	29.81	31.76	0.61	0.48	0.46	0.45	0.45	0.44	0.53	0.56	0.57	0.03	0.08	0.1	0.13	0.1	0.46	0.5	0.51	0.72	0.87	0.92	0.93	0.98	0.39	0.23	0.18	0.6	0.66	0.67	0.68	0.69	0.42	0.29	0.24	0.07	0.17	0.23	0.29	0.23	0.88	0.9	0.9	0.13	0.29	0.37	0.45	0.37	1	1.01	1.02	0.57	0.79	0.89	0.96	0.95
P11B4.9C.ControlM	P36	initial	P11B4	9	Control	12	426	65.29	31.71	65.43	33.72	63.03	32.99	29.08	26.78	25.29	24.47	41.88	49.38	50.54	31.69	27.2	24.94	22.75	21.86	24.2	26.62	26.18	21.48	19.75	18.66	17.92	17.51	24.92	27.4	27.75	11.52	9.33	8.12	7.37	6.96	16.96	21.98	22.79	1.31	1.88	1.84	2.54	2.6	17.68	22.76	24.35	0.52	0.35	0.32	0.3	0.29	0.28	0.4	0.45	0.45	0.04	0.06	0.07	0.1	0.11	0.42	0.46	0.48	0.98	1.25	1.44	1.59	1.67	0.56	0.33	0.29	0.74	0.8	0.83	0.84	0.85	0.58	0.42	0.4	0.11	0.2	0.23	0.34	0.37	1.04	1.04	1.07	0.17	0.28	0.3	0.44	0.47	1.01	1.01	1.01	0.99	1.32	1.53	1.77	1.88
P11B4.9C.ControlM	P36	week3	P11B4	9	Control	12	209	32.03	55.7	173.47	117.76	154.27	98.46	81.06	72.62	65.53	59.2	111.19	143.65	152.81	97.01	78.6	70.01	63.5	57.81	58.96	65.82	63.53	44.75	40.77	38.52	36.43	34.39	47.21	52.22	53.39	53.7	40.28	34.1	29.09	24.81	63.98	91.43	99.43	1.45	2.46	2.62	2.03	1.39	52.23	77.84	89.28	0.68	0.55	0.5	0.47	0.44	0.42	0.58	0.64	0.65	0.01	0.03	0.04	0.03	0.02	0.47	0.54	0.58	0.76	1.14	1.39	1.65	1.93	0.56	0.21	0.14	0.58	0.7	0.75	0.79	0.82	0.49	0.25	0.17	0.03	0.06	0.08	0.07	0.06	0.82	0.85	0.9	0.06	0.12	0.14	0.12	0.09	1.02	1.07	1.07	0.59	0.96	1.2	1.43	1.67
P11B5.0C.0M	P31	initial	P11B5	0	0	1	402	61.61	55.4	123.93	68.53	118.81	78.1	64.85	60.2	56.57	55.18	89.16	92.93	93.47	81.88	64.91	60.01	56.29	53.89	50.89	50.94	50.3	43.89	39.37	37.61	36.15	35.58	47.18	48.21	48.36	34.21	25.48	22.6	20.41	19.6	41.99	44.72	45.12	-3.79	-0.05	0.19	0.28	1.3	38.27	41.98	43.17	0.55	0.44	0.39	0.38	0.36	0.36	0.47	0.48	0.48	-0.05	0	0	0	0.02	0.43	0.45	0.46	0.59	0.91	1.06	1.19	1.25	0.39	0.33	0.33	0.57	0.7	0.74	0.77	0.78	0.45	0.41	0.4	-0.11	0	0.01	0.01	0.07	0.91	0.94	0.96	-0.21	0	0.01	0.02	0.1	0.98	0.99	1	0.45	0.83	0.98	1.11	1.2
P11B5.0C.0M	P31	week3	P11B5	0	0	1	608	93.18	65.4	161.78	96.38	154.02	88.45	70.73	68.18	72.48	65.92	118.66	133.25	137.65	88.85	67.83	63.38	66.25	60.24	49.02	52.04	52.89	48.99	43.02	42.06	43.66	41.19	57.03	60.19	61.08	39.47	27.71	26.12	28.82	24.73	61.63	73.06	76.58	-0.4	2.9	4.8	6.22	5.68	69.64	81.21	84.77	0.6	0.45	0.39	0.38	0.4	0.38	0.52	0.55	0.56	0	0.04	0.07	0.09	0.09	0.59	0.61	0.62	0.83	1.29	1.37	1.23	1.45	0.36	0.21	0.18	0.65	0.77	0.78	0.76	0.79	0.41	0.28	0.24	-0.01	0.1	0.18	0.22	0.23	1.13	1.11	1.11	-0.02	0.16	0.28	0.33	0.34	0.97	0.96	0.96	0.73	1.27	1.43	1.32	1.56
P11B5.0C.9M	P32	initial	P11B5	0	9	1	421	64.52	54.59	122.32	67.73	117.21	77.07	64.05	59.53	55.96	54.66	88.09	91.8	92.45	80.91	64.18	59.27	55.73	53.26	50.21	50.33	49.52	43.26	38.83	37.12	35.7	35.16	46.52	47.54	47.71	33.81	25.23	22.41	20.26	19.49	41.56	44.26	44.74	-3.85	-0.13	0.26	0.24	1.4	37.87	41.48	42.94	0.55	0.44	0.39	0.38	0.36	0.36	0.47	0.48	0.48	-0.05	0	0	0	0.03	0.43	0.45	0.46	0.59	0.91	1.05	1.19	1.24	0.39	0.33	0.32	0.57	0.7	0.74	0.77	0.78	0.45	0.41	0.4	-0.11	-0.01	0.01	0.01	0.07	0.91	0.94	0.96	-0.21	-0.01	0.02	0.02	0.11	0.98	0.99	1	0.45	0.83	0.98	1.1	1.2
P11B5.0C.9M	P32	week3	P11B5	0	9	1	1124	172.26	36.47	100.66	64.19	94.79	43.32	35.03	34.14	34.75	32.79	60.84	73.78	79.32	41.31	31.8	30.17	30.21	27.93	27.3	30.14	31.65	24.65	21.72	21.38	21.62	20.84	29.48	32.22	33.23	18.67	13.3	12.76	13.13	11.95	31.36	41.56	46.08	2.01	3.23	3.97	4.54	4.86	33.54	43.64	47.66	0.64	0.43	0.38	0.37	0.38	0.36	0.52	0.56	0.58	0.05	0.09	0.12	0.13	0.15	0.55	0.59	0.6	1.32	1.87	1.95	1.9	2.07	0.65	0.36	0.27	0.75	0.83	0.84	0.83	0.85	0.56	0.39	0.32	0.11	0.24	0.31	0.35	0.41	1.07	1.05	1.03	0.18	0.36	0.44	0.48	0.54	0.99	0.98	0.99	1.29	1.98	2.14	2.14	2.39
P11B5.0C.ControlM	P33	initial	P11B5	0	Control	1	487	74.64	72.56	167.62	95.07	165.03	120.56	94.4	83.82	74.16	70.28	130.33	140.37	144.22	126.32	95.01	83.17	73.9	69.36	76.87	78.02	76.44	62.07	54.32	50.64	46.95	45.36	64.56	66.93	67.8	58.49	40.08	33.18	27.21	24.92	65.77	73.44	76.43	-5.75	-0.61	0.66	0.26	0.92	53.46	62.35	67.78	0.57	0.49	0.42	0.4	0.37	0.35	0.5	0.52	0.53	-0.05	-0.01	0.01	0	0.01	0.41	0.44	0.47	0.39	0.78	1	1.26	1.38	0.29	0.19	0.16	0.45	0.65	0.72	0.77	0.8	0.36	0.27	0.23	-0.1	-0.02	0.02	0.01	0.04	0.81	0.85	0.89	-0.2	-0.03	0.03	0.02	0.06	0.97	0.99	1	0.31	0.74	0.98	1.23	1.38
